week,region,price,log_price,price_change
1996-01-08,Midwest,1.124,0.11689375147149943,0.01795380361659578
1996-01-15,Midwest,1.122,0.11511280710050467,-0.0017809443709947553
1996-01-22,Midwest,1.107,0.10165365372649982,-0.013459153374004856
1996-01-29,Midwest,1.094,0.08984070399978954,-0.011812949726710278
1996-02-05,Midwest,1.094,0.08984070399978954,0.0
1996-02-12,Midwest,1.092,0.08801087732271337,-0.0018298266770761656
1996-02-19,Midwest,1.103,0.0980337402713654,0.010022862948652025
1996-02-26,Midwest,1.144,0.13453089295760606,0.036497152686240666
1996-03-04,Midwest,1.16,0.14842000511827322,0.013889112160667155
1996-03-11,Midwest,1.151,0.14063112973974562,-0.007788875378527599
1996-03-18,Midwest,1.167,0.15443635330441896,0.013805223564673341
1996-03-25,Midwest,1.202,0.1839868361130158,0.029550482808596845
1996-04-01,Midwest,1.209,0.18979357163265567,0.005806735519639866
1996-04-08,Midwest,1.232,0.208638865111328,0.018845293478672337
1996-04-15,Midwest,1.268,0.2374408560150342,0.028801990903706193
1996-04-22,Midwest,1.258,0.2295231582782488,-0.007917697736785412
1996-04-29,Midwest,1.27,0.23901690047049992,0.009493742192251131
1996-05-06,Midwest,1.26,0.23111172096338664,-0.00790517950711328
1996-05-13,Midwest,1.266,0.23586232372198446,0.004750602758597816
1996-05-20,Midwest,1.284,0.24998020526776946,0.014117881545785
1996-05-27,Midwest,1.267,0.23665190133900194,-0.013328303928767521
1996-06-03,Midwest,1.256,0.22793206804600694,-0.008719833292995
1996-06-10,Midwest,1.251,0.223943231484774,-0.003988836561232945
1996-06-17,Midwest,1.247,0.2207406666978995,-0.003202564786874501
1996-06-24,Midwest,1.233,0.20945022418220732,-0.011290442515692167
1996-07-01,Midwest,1.218,0.19721016928770527,-0.012240054894502056
1996-07-08,Midwest,1.222,0.20048886074940356,0.003278691461698291
1996-07-15,Midwest,1.225,0.20294084399669038,0.002451983247286821
1996-07-22,Midwest,1.228,0.2053868297249507,0.002445985728260325
1996-07-29,Midwest,1.213,0.19309662996191315,-0.012290199763037551
1996-08-05,Midwest,1.198,0.18065349969325756,-0.012443130268655594
1996-08-12,Midwest,1.192,0.17563256864315796,-0.005020931050099597
1996-08-19,Midwest,1.208,0.18896609951262316,0.013333530869465204
1996-08-26,Midwest,1.218,0.19721016928770527,0.008244069775082102
1996-09-02,Midwest,1.204,0.18564934688662926,-0.011560822401076004
1996-09-09,Midwest,1.221,0.1996701951285677,0.014020848241938444
1996-09-16,Midwest,1.224,0.20212418409013433,0.002453988961566622
1996-09-23,Midwest,1.226,0.20375683751401963,0.0016326534238852997
1996-09-30,Midwest,1.218,0.19721016928770527,-0.006546668226314362
1996-10-07,Midwest,1.205,0.18647956694261839,-0.010730602345086881
1996-10-14,Midwest,1.228,0.2053868297249507,0.018907262782332318
1996-10-21,Midwest,1.227,0.20457216572877446,-0.0008146639961762459
1996-10-28,Midwest,1.252,0.22474227267790678,0.02017010694913232
1996-11-04,Midwest,1.264,0.2342812957246657,0.00953902304675891
1996-11-11,Midwest,1.274,0.24216155714997162,0.007880261425305929
1996-11-18,Midwest,1.284,0.24998020526776946,0.007818648117797838
1996-11-25,Midwest,1.296,0.25928259793008296,0.009302392662313502
1996-12-02,Midwest,1.292,0.25619140536041013,-0.0030911925696728293
1996-12-09,Midwest,1.288,0.2530906276821619,-0.0031007776782482344
1996-12-16,Midwest,1.271,0.23980399220731693,-0.01328663547484496
1996-12-23,Midwest,1.26,0.23111172096338664,-0.008692271243930294
1996-12-30,Midwest,1.253,0.22554067591393115,-0.005571045049455492
1997-01-06,Midwest,1.245,0.219135529916671,-0.0064051459972601366
1997-01-13,Midwest,1.275,0.2429461786103894,0.023810648693718378
1997-01-20,Midwest,1.273,0.2413763195752694,-0.001569859035119997
1997-01-27,Midwest,1.265,0.23507212217948348,-0.006304197395785915
1997-02-03,Midwest,1.26,0.23111172096338664,-0.003960401216096837
1997-02-10,Midwest,1.246,0.2199384203652614,-0.011173300598125241
1997-02-17,Midwest,1.232,0.208638865111328,-0.011299555253933391
1997-02-24,Midwest,1.232,0.208638865111328,0.0
1997-03-03,Midwest,1.216,0.19556678354397525,-0.013072081567352761
1997-03-10,Midwest,1.202,0.1839868361130158,-0.011579947430959442
1997-03-17,Midwest,1.188,0.17227122094045313,-0.011715615172562671
1997-03-24,Midwest,1.203,0.18481843699254188,0.01254721605208875
1997-03-31,Midwest,1.193,0.1764711431157791,-0.008347293876762779
1997-04-07,Midwest,1.19,0.17395330712343798,-0.002517835992341122
1997-04-14,Midwest,1.185,0.16974277458709455,-0.004210532536343431
1997-04-21,Midwest,1.194,0.1773090149704103,0.007566240383315742
1997-04-28,Midwest,1.194,0.1773090149704103,0.0
1997-05-05,Midwest,1.195,0.17814618538347404,0.0008371704130637481
1997-05-12,Midwest,1.199,0.18148787604537725,0.003341690661903207
1997-05-19,Midwest,1.228,0.2053868297249507,0.023898953679573454
1997-05-26,Midwest,1.247,0.2207406666978995,0.015353836972948787
1997-06-02,Midwest,1.25,0.22314355131420976,0.0024028846163102746
1997-06-09,Midwest,1.24,0.2151113796169455,-0.008032171697264279
1997-06-16,Midwest,1.225,0.20294084399669038,-0.012170535620255107
1997-06-23,Midwest,1.211,0.19144646457095527,-0.011494379425735113
1997-06-30,Midwest,1.198,0.18065349969325756,-0.010792964877697708
1997-07-07,Midwest,1.198,0.18065349969325756,0.0
1997-07-14,Midwest,1.192,0.17563256864315796,-0.005020931050099597
1997-07-21,Midwest,1.209,0.18979357163265567,0.014161002989497712
1997-07-28,Midwest,1.196,0.17898265552843995,-0.010810916104215723
1997-08-04,Midwest,1.228,0.2053868297249507,0.026404174196510755
1997-08-11,Midwest,1.273,0.2413763195752694,0.03598948985031869
1997-08-18,Midwest,1.26,0.23111172096338664,-0.010264598611882753
1997-08-25,Midwest,1.271,0.23980399220731693,0.008692271243930294
1997-09-01,Midwest,1.262,0.23269776411902143,-0.007106228088295502
1997-09-08,Midwest,1.252,0.22474227267790678,-0.007955491441114654
1997-09-15,Midwest,1.236,0.211880359035499,-0.012861913642407768
1997-09-22,Midwest,1.215,0.19474407679251185,-0.01713628224298716
1997-09-29,Midwest,1.193,0.1764711431157791,-0.018272933676732744
1997-10-06,Midwest,1.201,0.18315454309784654,0.006683399982067434
1997-10-13,Midwest,1.186,0.17058630057553367,-0.012568242522312867
1997-10-20,Midwest,1.173,0.15956456967133845,-0.011021730904195226
1997-10-27,Midwest,1.161,0.14928170271575447,-0.010282866955583975
1997-11-03,Midwest,1.157,0.14583044821153954,-0.0034512545042149345
1997-11-10,Midwest,1.167,0.15443635330441896,0.008605905092879423
1997-11-17,Midwest,1.155,0.14410034397375687,-0.010336009330662088
1997-11-24,Midwest,1.156,0.14496577025018564,0.0008654262764287712
1997-12-01,Midwest,1.14,0.131028262406404,-0.013937507843781644
